match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg,bp_std,bp_max,top_kills_share,bp_range,date_utc,best_of,stage,is_lan
93882,Miami Heretics,1,3,1,327,319,40969,1.025078369905956,1.03,0.052915026221291864,1.1,0.28134556574923547,0.07000000000000006,2025-02-02 10:00:00+00:00,5,major,1
93882,Carolina Royal Ravens,0,1,3,319,327,41374,0.9755351681957186,0.97,0.058309518948453,1.05,0.26959247648902823,0.08000000000000007,2025-02-02 10:00:00+00:00,5,major,1
93883,Los Angeles Thieves,0,2,3,379,363,48043,1.044077134986226,1.025,0.08962886439832503,1.15,0.2796833773087071,0.125,2025-02-02 11:30:00+00:00,5,major,1
93883,Atlanta FaZe,1,3,2,362,379,46253,0.9551451187335092,0.975,0.034156502553198693,1.02,0.27071823204419887,0.04500000000000004,2025-02-02 11:30:00+00:00,5,major,1
93884,Los Angeles Thieves,1,3,0,240,181,29501,1.3259668508287292,1.3424999999999998,0.12093386622447826,1.44,0.2916666666666667,0.09749999999999992,2025-02-02 13:00:00+00:00,5,major,1
93884,Miami Heretics,0,0,3,181,240,24992,0.7541666666666667,0.6575,0.08301606270274846,0.75,0.30939226519337015,0.09250000000000003,2025-02-02 13:00:00+00:00,5,major,1
93885,Atlanta FaZe,1,4,3,479,469,61409,1.0213219616204692,1.0875,0.020615528128088274,1.11,0.2588726513569937,0.022499999999999964,2025-02-02 14:30:00+00:00,7,major finals,1
93885,Los Angeles Thieves,0,3,4,469,479,60811,0.9791231732776616,0.915,0.054467115461227296,0.99,0.27078891257995735,0.07499999999999996,2025-02-02 14:30:00+00:00,7,major finals,1
93886,Los Angeles Thieves,1,3,0,235,220,29064,1.068181818181818,1.2525,0.03862210075418831,1.29,0.25957446808510637,0.03750000000000009,2025-02-14 15:00:00+00:00,5,minor,0
93886,Carolina Royal Ravens,0,0,3,220,235,28381,0.9361702127659576,0.7474999999999999,0.09878427675158297,0.84,0.32272727272727275,0.09249999999999992,2025-02-14 15:00:00+00:00,5,minor,0
