match_id,team_name,series_win,maps_won,maps_lost,series_kills,series_deaths,series_damage,series_kdr,avg_bp_rtg
93947,Los Angeles Thieves,1,3,0,218,155,25760,1.4064516129032258,1.4375
93947,Carolina Royal Ravens,0,0,3,155,218,21279,0.7110091743119266,0.565
93948,OpTic Texas,0,0,3,208,238,27504,0.8739495798319328,0.775
93948,Toronto Ultra,1,3,0,238,208,29486,1.1442307692307692,1.225
93949,Boston Breach,0,1,3,357,390,46878,0.9153846153846154,0.945
93949,Vancouver Surge,1,3,1,390,357,48056,1.0924369747899159,1.055
93950,Atlanta FaZe,1,3,1,328,302,41425,1.086092715231788,1.095
93950,Cloud9 New York,0,1,3,302,328,39515,0.9207317073170732,0.9025
93951,Boston Breach,0,0,3,199,242,26779,0.8223140495867769,0.7475
93951,Toronto Ultra,1,3,0,242,199,29399,1.2160804020100502,1.2525
93952,Cloud9 New York,0,0,3,209,228,27425,0.9166666666666666,0.84
93952,Los Angeles Thieves,1,3,0,228,209,28532,1.0909090909090908,1.1575
93953,Toronto Ultra,1,3,0,200,163,23639,1.2269938650306749,1.2025000000000001
93953,Los Angeles Thieves,0,0,3,163,200,20630,0.815,0.7975
93954,Vancouver Surge,0,2,3,360,338,47004,1.0650887573964498,1.0375
93954,Atlanta FaZe,1,3,2,338,360,46215,0.9388888888888889,0.96
93955,Vancouver Surge,1,3,1,349,306,44784,1.1405228758169934,1.175
93955,Toronto Ultra,0,1,3,306,349,41112,0.8767908309455588,0.8275
93956,Atlanta FaZe,1,4,0,343,281,41743,1.2206405693950177,1.2925
93956,Vancouver Surge,0,0,4,281,344,38316,0.8168604651162791,0.7075
